x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,56.0000,ball,1,1,0.0000,0.0000,0.0000
29.7736,0.1012,55.8340,ball,1,1,0.0000,0.0000,0.0000
29.5481,0.2011,55.6686,ball,1,1,0.0000,0.0000,0.0000
29.3234,0.2996,55.5038,ball,1,1,0.0000,0.0000,0.0000
29.0997,0.3967,55.3398,ball,1,1,0.0000,0.0000,0.0000
28.8768,0.4925,55.1763,ball,1,1,0.0000,0.0000,0.0000
28.6548,0.5870,55.0135,ball,1,1,0.0000,0.0000,0.0000
28.4337,0.6801,54.8513,ball,1,1,0.0000,0.0000,0.0000
28.2134,0.7719,54.6898,ball,1,1,0.0000,0.0000,0.0000
27.9939,0.8624,54.5289,ball,1,1,0.0000,0.0000,0.0000
27.7753,0.9516,54.3686,ball,1,1,0.0000,0.0000,0.0000
27.5575,1.0395,54.2089,ball,1,1,0.0000,0.0000,0.0000
27.3406,1.1261,54.0498,ball,1,1,0.0000,0.0000,0.0000
27.1244,1.2114,53.8913,ball,1,1,0.0000,0.0000,0.0000
26.9091,1.2953,53.7333,ball,1,1,0.0000,0.0000,0.0000
26.6946,1.3781,53.5760,ball,1,1,0.0000,0.0000,0.0000
26.4809,1.4595,53.4193,ball,1,1,0.0000,0.0000,0.0000
26.2679,1.5397,53.2631,ball,1,1,0.0000,0.0000,0.0000
26.0558,1.6186,53.1076,ball,1,1,0.0000,0.0000,0.0000
25.8444,1.6963,52.9525,ball,1,1,0.0000,0.0000,0.0000
25.6338,1.7727,52.7981,ball,1,1,0.0000,0.0000,0.0000
25.4239,1.8479,52.6442,ball,1,1,0.0000,0.0000,0.0000
25.2148,1.9218,52.4909,ball,1,1,0.0000,0.0000,0.0000
25.0065,1.9945,52.3381,ball,1,1,0.0000,0.0000,0.0000
24.7989,2.0660,52.1859,ball,1,1,0.0000,0.0000,0.0000
24.5920,2.1363,52.0342,ball,1,1,0.0000,0.0000,0.0000
24.3859,2.2053,51.8830,ball,1,1,0.0000,0.0000,0.0000
24.1805,2.2732,51.7324,ball,1,1,0.0000,0.0000,0.0000
23.9758,2.3398,51.5823,ball,1,1,0.0000,0.0000,0.0000
23.7719,2.4052,51.4327,ball,1,1,0.0000,0.0000,0.0000
23.5686,2.4695,51.2836,ball,1,1,0.0000,0.0000,0.0000
23.3661,2.5325,51.1351,ball,1,1,0.0000,0.0000,0.0000
23.1642,2.5944,50.9871,ball,1,1,0.0000,0.0000,0.0000
22.9631,2.6551,50.8396,ball,1,1,0.0000,0.0000,0.0000
22.7626,2.7146,50.6926,ball,1,1,0.0000,0.0000,0.0000
22.5628,2.7730,50.5461,ball,1,1,0.0000,0.0000,0.0000
22.3637,2.8302,50.4000,ball,1,1,0.0000,0.0000,0.0000
22.1652,2.8862,50.2545,ball,1,1,0.0000,0.0000,0.0000
21.9675,2.9411,50.1095,ball,1,1,0.0000,0.0000,0.0000
21.7704,2.9948,49.9649,ball,1,1,0.0000,0.0000,0.0000
21.5739,3.0474,49.8209,ball,1,1,0.0000,0.0000,0.0000
21.3781,3.0988,49.6773,ball,1,1,0.0000,0.0000,0.0000
21.1830,3.1491,49.5342,ball,1,1,0.0000,0.0000,0.0000
20.9884,3.1983,49.3915,ball,1,1,0.0000,0.0000,0.0000
20.7946,3.2463,49.2494,ball,1,1,0.0000,0.0000,0.0000
20.6013,3.2933,49.1076,ball,1,1,0.0000,0.0000,0.0000
20.4087,3.3391,48.9664,ball,1,1,0.0000,0.0000,0.0000
20.2167,3.3838,48.8256,ball,1,1,0.0000,0.0000,0.0000
20.0254,3.4274,48.6853,ball,1,1,0.0000,0.0000,0.0000
19.8346,3.4698,48.5454,ball,1,1,0.0000,0.0000,0.0000
19.6445,3.5112,48.4059,ball,1,1,0.0000,0.0000,0.0000
19.4549,3.5515,48.2669,ball,1,1,0.0000,0.0000,0.0000
19.2660,3.5907,48.1284,ball,1,1,0.0000,0.0000,0.0000
19.0776,3.6288,47.9903,ball,1,1,0.0000,0.0000,0.0000
18.8899,3.6658,47.8526,ball,1,1,0.0000,0.0000,0.0000
18.7027,3.7017,47.7153,ball,1,1,0.0000,0.0000,0.0000
18.5162,3.7366,47.5785,ball,1,1,0.0000,0.0000,0.0000
18.3302,3.7703,47.4421,ball,1,1,0.0000,0.0000,0.0000
18.1448,3.8030,47.3062,ball,1,1,0.0000,0.0000,0.0000
17.9599,3.8347,47.1706,ball,1,1,0.0000,0.0000,0.0000
17.7757,3.8652,47.0355,ball,1,1,0.0000,0.0000,0.0000
17.5920,3.8948,46.9008,ball,1,1,0.0000,0.0000,0.0000
17.4088,3.9232,46.7665,ball,1,1,0.0000,0.0000,0.0000
17.2262,3.9506,46.6326,ball,1,1,0.0000,0.0000,0.0000
17.0442,3.9770,46.4991,ball,1,1,0.0000,0.0000,0.0000
16.8627,4.0023,46.3660,ball,1,1,0.0000,0.0000,0.0000
16.6818,4.0266,46.2333,ball,1,1,0.0000,0.0000,0.0000
16.5014,4.0498,46.1010,ball,1,1,0.0000,0.0000,0.0000
16.3216,4.0720,45.9691,ball,1,1,0.0000,0.0000,0.0000
16.1422,4.0932,45.8376,ball,1,1,0.0000,0.0000,0.0000
15.9635,4.1133,45.7065,ball,1,1,0.0000,0.0000,0.0000
15.7852,4.1324,45.5758,ball,1,1,0.0000,0.0000,0.0000
15.6075,4.1505,45.4455,ball,1,1,0.0000,0.0000,0.0000
15.4303,4.1676,45.3156,ball,1,1,0.0000,0.0000,0.0000
15.2536,4.1836,45.1860,ball,1,1,0.0000,0.0000,0.0000
15.0775,4.1987,45.0568,ball,1,1,0.0000,0.0000,0.0000
14.9018,4.2127,44.9280,ball,1,1,0.0000,0.0000,0.0000
14.7267,4.2257,44.7996,ball,1,1,0.0000,0.0000,0.0000
14.5521,4.2377,44.6715,ball,1,1,0.0000,0.0000,0.0000
14.3779,4.2488,44.5438,ball,1,1,0.0000,0.0000,0.0000
14.2043,4.2588,44.4165,ball,1,1,0.0000,0.0000,0.0000
14.0312,4.2678,44.2895,ball,1,1,0.0000,0.0000,0.0000
13.8586,4.2759,44.1629,ball,1,1,0.0000,0.0000,0.0000
13.6864,4.2829,44.0367,ball,1,1,0.0000,0.0000,0.0000
13.5148,4.2890,43.9108,ball,1,1,0.0000,0.0000,0.0000
