x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,28.0000,ball,1,1,0.0000,10.0000,0.0000
29.8228,0.1087,28.0685,ball,1,1,0.0000,9.8789,0.0000
29.6459,0.2161,28.1362,ball,1,1,0.0000,9.7600,0.0000
29.4693,0.3223,28.2031,ball,1,1,0.0000,9.6430,0.0000
29.2930,0.4272,28.2693,ball,1,1,0.0000,9.5281,0.0000
29.1170,0.5308,28.3347,ball,1,1,0.0000,9.4151,0.0000
28.9413,0.6331,28.3995,ball,1,1,0.0000,9.3040,0.0000
28.7659,0.7342,28.4635,ball,1,1,0.0000,9.1947,0.0000
28.5908,0.8341,28.5268,ball,1,1,0.0000,9.0873,0.0000
28.4160,0.9327,28.5894,ball,1,1,0.0000,8.9816,0.0000
28.2415,1.0300,28.6514,ball,1,1,0.0000,8.8778,0.0000
28.0673,1.1262,28.7127,ball,1,1,0.0000,8.7756,0.0000
27.8935,1.2210,28.7733,ball,1,1,0.0000,8.6751,0.0000
27.7199,1.3147,28.8333,ball,1,1,0.0000,8.5762,0.0000
27.5467,1.4071,28.8926,ball,1,1,0.0000,8.4789,0.0000
27.3738,1.4984,28.9513,ball,1,1,0.0000,8.3832,0.0000
27.2012,1.5884,29.0093,ball,1,1,0.0000,8.2891,0.0000
27.0289,1.6772,29.0668,ball,1,1,0.0000,8.1964,0.0000
26.8569,1.7647,29.1236,ball,1,1,0.0000,8.1052,0.0000
26.6852,1.8511,29.1799,ball,1,1,0.0000,8.0155,0.0000
26.5138,1.9363,29.2355,ball,1,1,0.0000,7.9272,0.0000
26.3428,2.0203,29.2906,ball,1,1,0.0000,7.8403,0.0000
26.1721,2.1032,29.3451,ball,1,1,0.0000,7.7547,0.0000
26.0017,2.1848,29.3990,ball,1,1,0.0000,7.6704,0.0000
25.8315,2.2652,29.4524,ball,1,1,0.0000,7.5875,0.0000
25.6618,2.3445,29.5052,ball,1,1,0.0000,7.5059,0.0000
25.4923,2.4226,29.5575,ball,1,1,0.0000,7.4254,0.0000
25.3231,2.4996,29.6093,ball,1,1,0.0000,7.3463,0.0000
25.1543,2.5753,29.6605,ball,1,1,0.0000,7.2683,0.0000
24.9857,2.6500,29.7112,ball,1,1,0.0000,7.1915,0.0000
24.8175,2.7234,29.7614,ball,1,1,0.0000,7.1158,0.0000
