x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,35.0000,ball,1,1,0.0000,50.0000,0.0000
19.7953,0.0741,35.0239,ball,1,1,0.0000,49.3947,0.0000
19.5909,0.1469,35.0461,ball,1,1,0.0000,48.7994,0.0000
19.3870,0.2186,35.0665,ball,1,1,0.0000,48.2139,0.0000
19.1835,0.2892,35.0852,ball,1,1,0.0000,47.6379,0.0000
18.9804,0.3585,35.1022,ball,1,1,0.0000,47.0712,0.0000
18.7778,0.4267,35.1176,ball,1,1,0.0000,46.5136,0.0000
18.5756,0.4937,35.1313,ball,1,1,0.0000,45.9651,0.0000
18.3739,0.5596,35.1434,ball,1,1,0.0000,45.4253,0.0000
18.1727,0.6243,35.1540,ball,1,1,0.0000,44.8941,0.0000
17.9720,0.6879,35.1629,ball,1,1,0.0000,44.3713,0.0000
17.7717,0.7504,35.1703,ball,1,1,0.0000,43.8567,0.0000
17.5720,0.8116,35.1762,ball,1,1,0.0000,43.3503,0.0000
17.3728,0.8718,35.1806,ball,1,1,0.0000,42.8517,0.0000
17.1741,0.9308,35.1835,ball,1,1,0.0000,42.3609,0.0000
16.9759,0.9887,35.1849,ball,1,1,0.0000,41.8777,0.0000
16.7783,1.0455,35.1849,ball,1,1,0.0000,41.4020,0.0000
16.5812,1.1011,35.1835,ball,1,1,0.0000,40.9335,0.0000
16.3846,1.1557,35.1807,ball,1,1,0.0000,40.4722,0.0000
16.1886,1.2091,35.1765,ball,1,1,0.0000,40.0180,0.0000
15.9932,1.2614,35.1709,ball,1,1,0.0000,39.5705,0.0000
15.7983,1.3126,35.1640,ball,1,1,0.0000,39.1299,0.0000
15.6040,1.3627,35.1558,ball,1,1,0.0000,38.6958,0.0000
15.4103,1.4117,35.1462,ball,1,1,0.0000,38.2682,0.0000
15.2171,1.4596,35.1354,ball,1,1,0.0000,37.8470,0.0000
15.0246,1.5064,35.1233,ball,1,1,0.0000,37.4319,0.0000
14.8326,1.5521,35.1100,ball,1,1,0.0000,37.0230,0.0000
14.6412,1.5968,35.0954,ball,1,1,0.0000,36.6201,0.0000
14.4504,1.6403,35.0797,ball,1,1,0.0000,36.2230,0.0000
14.2602,1.6828,35.0627,ball,1,1,0.0000,35.8318,0.0000
14.0707,1.7242,35.0446,ball,1,1,0.0000,35.4461,0.0000
13.8817,1.7645,35.0253,ball,1,1,0.0000,35.0660,0.0000
13.6933,1.8038,35.0048,ball,1,1,0.0000,34.6913,0.0000
13.5056,1.8419,34.9832,ball,1,1,0.0000,34.3220,0.0000
13.3185,1.8791,34.9605,ball,1,1,0.0000,33.9579,0.0000
13.1320,1.9151,34.9367,ball,1,1,0.0000,33.5989,0.0000
12.9461,1.9501,34.9119,ball,1,1,0.0000,33.2450,0.0000
12.7608,1.9841,34.8859,ball,1,1,0.0000,32.8960,0.0000
12.5762,2.0170,34.8589,ball,1,1,0.0000,32.5519,0.0000
12.3922,2.0488,34.8309,ball,1,1,0.0000,32.2125,0.0000
12.2088,2.0796,34.8019,ball,1,1,0.0000,31.8778,0.0000
12.0260,2.1094,34.7718,ball,1,1,0.0000,31.5477,0.0000
11.8439,2.1381,34.7408,ball,1,1,0.0000,31.2220,0.0000
11.6624,2.1658,34.7088,ball,1,1,0.0000,30.9008,0.0000
11.4816,2.1924,34.6758,ball,1,1,0.0000,30.5840,0.0000
11.3013,2.2180,34.6419,ball,1,1,0.0000,30.2714,0.0000
11.1218,2.2426,34.6070,ball,1,1,0.0000,29.9630,0.0000
10.9428,2.2662,34.5712,ball,1,1,0.0000,29.6586,0.0000
10.7645,2.2887,34.5345,ball,1,1,0.0000,29.3584,0.0000
10.5868,2.3103,34.4969,ball,1,1,0.0000,29.0620,0.0000
10.4098,2.3308,34.4585,ball,1,1,0.0000,28.7696,0.0000
10.2334,2.3502,34.4191,ball,1,1,0.0000,28.4810,0.0000
10.0577,2.3687,34.3789,ball,1,1,0.0000,28.1961,0.0000
9.8826,2.3862,34.3379,ball,1,1,0.0000,27.9150,0.0000
9.7081,2.4026,34.2960,ball,1,1,0.0000,27.6374,0.0000
9.5343,2.4181,34.2533,ball,1,1,0.0000,27.3634,0.0000
9.3611,2.4325,34.2097,ball,1,1,0.0000,27.0929,0.0000
9.1885,2.4460,34.1654,ball,1,1,0.0000,26.8258,0.0000
9.0166,2.4584,34.1203,ball,1,1,0.0000,26.5621,0.0000
8.8453,2.4699,34.0744,ball,1,1,0.0000,26.3017,0.0000
8.6747,2.4803,34.0278,ball,1,1,0.0000,26.0446,0.0000
8.5047,2.4898,33.9804,ball,1,1,0.0000,25.7906,0.0000
8.3354,2.4983,33.9322,ball,1,1,0.0000,25.5398,0.0000
8.1667,2.5058,33.8833,ball,1,1,0.0000,25.2921,0.0000
7.9986,2.5123,33.8337,ball,1,1,0.0000,25.0475,0.0000
7.8311,2.5178,33.7834,ball,1,1,0.0000,24.8058,0.0000
7.6643,2.5224,33.7324,ball,1,1,0.0000,24.5670,0.0000
7.4982,2.5259,33.6806,ball,1,1,0.0000,24.3311,0.0000
7.3326,2.5285,33.6282,ball,1,1,0.0000,24.0981,0.0000
7.1677,2.5302,33.5752,ball,1,1,0.0000,23.8679,0.0000
7.0035,2.5308,33.5214,ball,1,1,0.0000,23.6403,0.0000
6.8399,2.5305,33.4670,ball,1,1,0.0000,23.4155,0.0000
6.6769,2.5293,33.4120,ball,1,1,0.0000,23.1934,0.0000
6.5145,2.5270,33.3563,ball,1,1,0.0000,22.9738,0.0000
6.3528,2.5238,33.3000,ball,1,1,0.0000,22.7568,0.0000
6.1916,2.5197,33.2431,ball,1,1,0.0000,22.5423,0.0000
6.0312,2.5146,33.1855,ball,1,1,0.0000,22.3303,0.0000
5.8713,2.5085,33.1274,ball,1,1,0.0000,22.1208,0.0000
5.7121,2.5015,33.0686,ball,1,1,0.0000,21.9136,0.0000
5.5535,2.4935,33.0093,ball,1,1,0.0000,21.7088,0.0000
5.3955,2.4846,32.9494,ball,1,1,0.0000,21.5063,0.0000
5.2382,2.4748,32.8890,ball,1,1,0.0000,21.3061,0.0000
5.0814,2.4640,32.8279,ball,1,1,0.0000,21.1081,0.0000
4.9253,2.4522,32.7663,ball,1,1,0.0000,20.9124,0.0000
4.7698,2.4395,32.7042,ball,1,1,0.0000,20.7188,0.0000
4.6149,2.4259,32.6416,ball,1,1,0.0000,20.5274,0.0000
4.4607,2.4114,32.5784,ball,1,1,0.0000,20.3380,0.0000
