x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,49.0000,ball,1,1,0.0000,20.0000,0.0000
29.7313,0.1012,48.9185,ball,1,1,0.0000,19.6699,0.0000
29.4641,0.2011,48.8358,ball,1,1,0.0000,19.3468,0.0000
29.1984,0.2996,48.7521,ball,1,1,0.0000,19.0307,0.0000
28.9342,0.3967,48.6672,ball,1,1,0.0000,18.7213,0.0000
28.6715,0.4925,48.5814,ball,1,1,0.0000,18.4184,0.0000
28.4103,0.5870,48.4946,ball,1,1,0.0000,18.1220,0.0000
28.1504,0.6801,48.4067,ball,1,1,0.0000,17.8317,0.0000
27.8920,0.7719,48.3180,ball,1,1,0.0000,17.5475,0.0000
27.6351,0.8624,48.2283,ball,1,1,0.0000,17.2693,0.0000
27.3795,0.9516,48.1377,ball,1,1,0.0000,16.9967,0.0000
27.1254,1.0395,48.0463,ball,1,1,0.0000,16.7298,0.0000
26.8726,1.1261,47.9540,ball,1,1,0.0000,16.4683,0.0000
26.6213,1.2113,47.8609,ball,1,1,0.0000,16.2122,0.0000
26.3712,1.2953,47.7670,ball,1,1,0.0000,15.9613,0.0000
26.1226,1.3781,47.6723,ball,1,1,0.0000,15.7154,0.0000
25.8753,1.4595,47.5769,ball,1,1,0.0000,15.4744,0.0000
25.6293,1.5397,47.4807,ball,1,1,0.0000,15.2383,0.0000
25.3846,1.6186,47.3839,ball,1,1,0.0000,15.0069,0.0000
25.1412,1.6963,47.2864,ball,1,1,0.0000,14.7800,0.0000
24.8991,1.7727,47.1882,ball,1,1,0.0000,14.5577,0.0000
24.6583,1.8479,47.0894,ball,1,1,0.0000,14.3396,0.0000
24.4188,1.9218,46.9899,ball,1,1,0.0000,14.1259,0.0000
24.1805,1.9945,46.8899,ball,1,1,0.0000,13.9163,0.0000
23.9435,2.0660,46.7892,ball,1,1,0.0000,13.7107,0.0000
23.7077,2.1363,46.6880,ball,1,1,0.0000,13.5091,0.0000
23.4732,2.2053,46.5863,ball,1,1,0.0000,13.3113,0.0000
23.2398,2.2731,46.4840,ball,1,1,0.0000,13.1174,0.0000
23.0077,2.3398,46.3812,ball,1,1,0.0000,12.9271,0.0000
22.7767,2.4052,46.2779,ball,1,1,0.0000,12.7404,0.0000
22.5470,2.4695,46.1741,ball,1,1,0.0000,12.5572,0.0000
22.3184,2.5325,46.0699,ball,1,1,0.0000,12.3774,0.0000
22.0909,2.5944,45.9652,ball,1,1,0.0000,12.2010,0.0000
21.8646,2.6551,45.8600,ball,1,1,0.0000,12.0278,0.0000
21.6395,2.7146,45.7545,ball,1,1,0.0000,11.8579,0.0000
21.4154,2.7729,45.6485,ball,1,1,0.0000,11.6910,0.0000
21.1925,2.8301,45.5421,ball,1,1,0.0000,11.5273,0.0000
20.9707,2.8862,45.4354,ball,1,1,0.0000,11.3665,0.0000
20.7500,2.9410,45.3283,ball,1,1,0.0000,11.2086,0.0000
20.5304,2.9948,45.2208,ball,1,1,0.0000,11.0535,0.0000
20.3118,3.0473,45.1130,ball,1,1,0.0000,10.9013,0.0000
20.0943,3.0988,45.0048,ball,1,1,0.0000,10.7517,0.0000
19.8779,3.1491,44.8963,ball,1,1,0.0000,10.6048,0.0000
19.6625,3.1983,44.7875,ball,1,1,0.0000,10.4606,0.0000
19.4482,3.2463,44.6785,ball,1,1,0.0000,10.3188,0.0000
19.2349,3.2932,44.5691,ball,1,1,0.0000,10.1796,0.0000
19.0226,3.3390,44.4594,ball,1,1,0.0000,10.0428,0.0000
18.8113,3.3837,44.3495,ball,1,1,0.0000,9.9083,0.0000
18.6010,3.4273,44.2394,ball,1,1,0.0000,9.7762,0.0000
18.3917,3.4698,44.1289,ball,1,1,0.0000,9.6464,0.0000
18.1834,3.5112,44.0183,ball,1,1,0.0000,9.5188,0.0000
17.9760,3.5514,43.9074,ball,1,1,0.0000,9.3933,0.0000
17.7697,3.5906,43.7963,ball,1,1,0.0000,9.2700,0.0000
17.5642,3.6287,43.6850,ball,1,1,0.0000,9.1488,0.0000
17.3598,3.6657,43.5735,ball,1,1,0.0000,9.0296,0.0000
17.1562,3.7016,43.4618,ball,1,1,0.0000,8.9125,0.0000
16.9536,3.7365,43.3499,ball,1,1,0.0000,8.7973,0.0000
16.7519,3.7703,43.2378,ball,1,1,0.0000,8.6840,0.0000
16.5512,3.8030,43.1256,ball,1,1,0.0000,8.5725,0.0000
