x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,56.0000,ball,1,1,0.0000,-10.0000,0.0000
29.8052,0.1012,55.7978,ball,1,1,0.0000,-9.8349,0.0000
29.6106,0.2011,55.5970,ball,1,1,0.0000,-9.6734,0.0000
29.4161,0.2996,55.3975,ball,1,1,0.0000,-9.5153,0.0000
29.2217,0.3967,55.1995,ball,1,1,0.0000,-9.3606,0.0000
29.0276,0.4925,55.0028,ball,1,1,0.0000,-9.2092,0.0000
28.8336,0.5870,54.8074,ball,1,1,0.0000,-9.0610,0.0000
28.6398,0.6801,54.6134,ball,1,1,0.0000,-8.9159,0.0000
28.4462,0.7719,54.4206,ball,1,1,0.0000,-8.7738,0.0000
28.2528,0.8624,54.2291,ball,1,1,0.0000,-8.6347,0.0000
28.0597,0.9516,54.0389,ball,1,1,0.0000,-8.4984,0.0000
27.8667,1.0395,53.8500,ball,1,1,0.0000,-8.3650,0.0000
27.6740,1.1261,53.6622,ball,1,1,0.0000,-8.2342,0.0000
27.4815,1.2114,53.4757,ball,1,1,0.0000,-8.1062,0.0000
27.2893,1.2953,53.2903,ball,1,1,0.0000,-7.9807,0.0000
27.0973,1.3781,53.1062,ball,1,1,0.0000,-7.8578,0.0000
26.9055,1.4595,52.9232,ball,1,1,0.0000,-7.7373,0.0000
26.7140,1.5397,52.7414,ball,1,1,0.0000,-7.6193,0.0000
26.5228,1.6186,52.5606,ball,1,1,0.0000,-7.5036,0.0000
26.3318,1.6963,52.3811,ball,1,1,0.0000,-7.3902,0.0000
26.1411,1.7727,52.2026,ball,1,1,0.0000,-7.2790,0.0000
25.9507,1.8479,52.0252,ball,1,1,0.0000,-7.1700,0.0000
25.7606,1.9218,51.8489,ball,1,1,0.0000,-7.0631,0.0000
25.5707,1.9945,51.6736,ball,1,1,0.0000,-6.9583,0.0000
25.3811,2.0660,51.4994,ball,1,1,0.0000,-6.8556,0.0000
25.1919,2.1363,51.3262,ball,1,1,0.0000,-6.7548,0.0000
25.0029,2.2053,51.1541,ball,1,1,0.0000,-6.6559,0.0000
24.8142,2.2732,50.9829,ball,1,1,0.0000,-6.5589,0.0000
24.6258,2.3398,50.8128,ball,1,1,0.0000,-6.4638,0.0000
24.4378,2.4052,50.6436,ball,1,1,0.0000,-6.3705,0.0000
24.2500,2.4695,50.4754,ball,1,1,0.0000,-6.2789,0.0000
24.0626,2.5325,50.3082,ball,1,1,0.0000,-6.1890,0.0000
23.8754,2.5944,50.1419,ball,1,1,0.0000,-6.1008,0.0000
23.6886,2.6551,49.9766,ball,1,1,0.0000,-6.0142,0.0000
23.5021,2.7146,49.8122,ball,1,1,0.0000,-5.9293,0.0000
23.3160,2.7730,49.6487,ball,1,1,0.0000,-5.8459,0.0000
23.1301,2.8301,49.4861,ball,1,1,0.0000,-5.7640,0.0000
22.9446,2.8862,49.3244,ball,1,1,0.0000,-5.6836,0.0000
22.7594,2.9411,49.1635,ball,1,1,0.0000,-5.6047,0.0000
22.5745,2.9948,49.0036,ball,1,1,0.0000,-5.5272,0.0000
22.3900,3.0474,48.8445,ball,1,1,0.0000,-5.4510,0.0000
22.2058,3.0988,48.6862,ball,1,1,0.0000,-5.3763,0.0000
22.0220,3.1491,48.5288,ball,1,1,0.0000,-5.3029,0.0000
21.8384,3.1983,48.3723,ball,1,1,0.0000,-5.2307,0.0000
21.6553,3.2463,48.2165,ball,1,1,0.0000,-5.1599,0.0000
21.4724,3.2933,48.0616,ball,1,1,0.0000,-5.0902,0.0000
21.2899,3.3391,47.9074,ball,1,1,0.0000,-5.0218,0.0000
21.1077,3.3838,47.7541,ball,1,1,0.0000,-4.9546,0.0000
20.9259,3.4273,47.6015,ball,1,1,0.0000,-4.8886,0.0000
20.7445,3.4698,47.4498,ball,1,1,0.0000,-4.8237,0.0000
20.5633,3.5112,47.2988,ball,1,1,0.0000,-4.7599,0.0000
