x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,42.0000,ball,1,1,0.0000,20.0000,0.0000
29.8107,0.1087,42.0158,ball,1,1,0.0000,19.7579,0.0000
29.6218,0.2161,42.0305,ball,1,1,0.0000,19.5199,0.0000
29.4335,0.3223,42.0441,ball,1,1,0.0000,19.2861,0.0000
29.2456,0.4272,42.0567,ball,1,1,0.0000,19.0561,0.0000
29.0581,0.5308,42.0684,ball,1,1,0.0000,18.8301,0.0000
28.8712,0.6331,42.0790,ball,1,1,0.0000,18.6079,0.0000
28.6847,0.7342,42.0887,ball,1,1,0.0000,18.3894,0.0000
28.4987,0.8341,42.0974,ball,1,1,0.0000,18.1745,0.0000
28.3132,0.9327,42.1052,ball,1,1,0.0000,17.9632,0.0000
28.1281,1.0300,42.1120,ball,1,1,0.0000,17.7554,0.0000
27.9436,1.1262,42.1180,ball,1,1,0.0000,17.5511,0.0000
27.7595,1.2210,42.1230,ball,1,1,0.0000,17.3500,0.0000
27.5759,1.3147,42.1272,ball,1,1,0.0000,17.1523,0.0000
27.3928,1.4071,42.1305,ball,1,1,0.0000,16.9577,0.0000
27.2102,1.4984,42.1329,ball,1,1,0.0000,16.7663,0.0000
27.0281,1.5884,42.1345,ball,1,1,0.0000,16.5780,0.0000
26.8464,1.6772,42.1353,ball,1,1,0.0000,16.3927,0.0000
26.6653,1.7647,42.1353,ball,1,1,0.0000,16.2103,0.0000
26.4846,1.8511,42.1345,ball,1,1,0.0000,16.0308,0.0000
26.3044,1.9363,42.1329,ball,1,1,0.0000,15.8542,0.0000
26.1247,2.0203,42.1306,ball,1,1,0.0000,15.6803,0.0000
25.9455,2.1031,42.1275,ball,1,1,0.0000,15.5091,0.0000
25.7667,2.1848,42.1236,ball,1,1,0.0000,15.3406,0.0000
25.5885,2.2652,42.1190,ball,1,1,0.0000,15.1747,0.0000
25.4107,2.3445,42.1137,ball,1,1,0.0000,15.0114,0.0000
25.2334,2.4226,42.1077,ball,1,1,0.0000,14.8505,0.0000
25.0566,2.4996,42.1010,ball,1,1,0.0000,14.6922,0.0000
24.8803,2.5753,42.0936,ball,1,1,0.0000,14.5362,0.0000
24.7044,2.6499,42.0855,ball,1,1,0.0000,14.3826,0.0000
24.5291,2.7234,42.0768,ball,1,1,0.0000,14.2313,0.0000
