x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,35.0000,ball,1,1,0.0000,20.0000,0.0000
29.8191,0.1087,35.0580,ball,1,1,0.0000,19.7579,0.0000
29.6384,0.2161,35.1149,ball,1,1,0.0000,19.5199,0.0000
29.4580,0.3223,35.1706,ball,1,1,0.0000,19.2861,0.0000
29.2777,0.4272,35.2253,ball,1,1,0.0000,19.0561,0.0000
29.0977,0.5308,35.2788,ball,1,1,0.0000,18.8301,0.0000
28.9180,0.6331,35.3313,ball,1,1,0.0000,18.6079,0.0000
28.7385,0.7342,35.3828,ball,1,1,0.0000,18.3894,0.0000
28.5592,0.8341,35.4332,ball,1,1,0.0000,18.1745,0.0000
28.3802,0.9327,35.4826,ball,1,1,0.0000,17.9632,0.0000
28.2015,1.0300,35.5309,ball,1,1,0.0000,17.7554,0.0000
28.0230,1.1262,35.5783,ball,1,1,0.0000,17.5511,0.0000
27.8448,1.2210,35.6247,ball,1,1,0.0000,17.3500,0.0000
27.6669,1.3147,35.6701,ball,1,1,0.0000,17.1523,0.0000
27.4893,1.4071,35.7146,ball,1,1,0.0000,16.9577,0.0000
27.3119,1.4984,35.7581,ball,1,1,0.0000,16.7663,0.0000
27.1348,1.5884,35.8007,ball,1,1,0.0000,16.5780,0.0000
26.9580,1.6772,35.8425,ball,1,1,0.0000,16.3927,0.0000
26.7815,1.7647,35.8833,ball,1,1,0.0000,16.2103,0.0000
26.6053,1.8511,35.9232,ball,1,1,0.0000,16.0308,0.0000
26.4294,1.9363,35.9622,ball,1,1,0.0000,15.8542,0.0000
26.2538,2.0203,36.0004,ball,1,1,0.0000,15.6803,0.0000
26.0785,2.1031,36.0378,ball,1,1,0.0000,15.5091,0.0000
25.9034,2.1848,36.0743,ball,1,1,0.0000,15.3406,0.0000
25.7287,2.2652,36.1100,ball,1,1,0.0000,15.1747,0.0000
25.5544,2.3445,36.1449,ball,1,1,0.0000,15.0114,0.0000
25.3803,2.4226,36.1790,ball,1,1,0.0000,14.8505,0.0000
25.2065,2.4996,36.2123,ball,1,1,0.0000,14.6922,0.0000
25.0330,2.5753,36.2448,ball,1,1,0.0000,14.5362,0.0000
24.8599,2.6499,36.2766,ball,1,1,0.0000,14.3826,0.0000
24.6871,2.7234,36.3076,ball,1,1,0.0000,14.2313,0.0000
24.5146,2.7957,36.3379,ball,1,1,0.0000,14.0822,0.0000
24.3424,2.8669,36.3674,ball,1,1,0.0000,13.9354,0.0000
24.1705,2.9369,36.3962,ball,1,1,0.0000,13.7908,0.0000
23.9990,3.0058,36.4243,ball,1,1,0.0000,13.6483,0.0000
23.8278,3.0735,36.4517,ball,1,1,0.0000,13.5079,0.0000
23.6569,3.1401,36.4784,ball,1,1,0.0000,13.3695,0.0000
23.4863,3.2056,36.5044,ball,1,1,0.0000,13.2331,0.0000
23.3161,3.2699,36.5298,ball,1,1,0.0000,13.0988,0.0000
23.1462,3.3332,36.5545,ball,1,1,0.0000,12.9663,0.0000
22.9766,3.3953,36.5785,ball,1,1,0.0000,12.8358,0.0000
22.8073,3.4563,36.6019,ball,1,1,0.0000,12.7071,0.0000
22.6384,3.5161,36.6247,ball,1,1,0.0000,12.5803,0.0000
22.4698,3.5749,36.6468,ball,1,1,0.0000,12.4552,0.0000
22.3015,3.6326,36.6683,ball,1,1,0.0000,12.3319,0.0000
22.1336,3.6891,36.6892,ball,1,1,0.0000,12.2103,0.0000
21.9660,3.7446,36.7095,ball,1,1,0.0000,12.0905,0.0000
21.7987,3.7989,36.7292,ball,1,1,0.0000,11.9722,0.0000
21.6317,3.8522,36.7483,ball,1,1,0.0000,11.8556,0.0000
21.4651,3.9044,36.7669,ball,1,1,0.0000,11.7406,0.0000
21.2988,3.9555,36.7848,ball,1,1,0.0000,11.6272,0.0000
21.1329,4.0055,36.8022,ball,1,1,0.0000,11.5153,0.0000
20.9673,4.0544,36.8191,ball,1,1,0.0000,11.4050,0.0000
20.8020,4.1022,36.8354,ball,1,1,0.0000,11.2961,0.0000
20.6370,4.1490,36.8512,ball,1,1,0.0000,11.1886,0.0000
20.4724,4.1947,36.8664,ball,1,1,0.0000,11.0826,0.0000
20.3081,4.2393,36.8811,ball,1,1,0.0000,10.9780,0.0000
20.1441,4.2829,36.8953,ball,1,1,0.0000,10.8748,0.0000
19.9805,4.3253,36.9090,ball,1,1,0.0000,10.7729,0.0000
19.8172,4.3668,36.9221,ball,1,1,0.0000,10.6724,0.0000
