x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
40.0000,0.0000,56.0000,ball,1,1,0.0000,-10.0000,0.0000
39.7978,0.1484,55.8385,ball,1,1,0.0000,-9.8349,0.0000
39.5959,0.2953,55.6783,ball,1,1,0.0000,-9.6735,0.0000
39.3942,0.4406,55.5195,ball,1,1,0.0000,-9.5156,0.0000
39.1928,0.5844,55.3619,ball,1,1,0.0000,-9.3611,0.0000
38.9917,0.7267,55.2056,ball,1,1,0.0000,-9.2100,0.0000
38.7908,0.8675,55.0505,ball,1,1,0.0000,-9.0622,0.0000
38.5903,1.0067,54.8967,ball,1,1,0.0000,-8.9175,0.0000
38.3901,1.1445,54.7440,ball,1,1,0.0000,-8.7759,0.0000
38.1901,1.2807,54.5925,ball,1,1,0.0000,-8.6373,0.0000
37.9905,1.4155,54.4423,ball,1,1,0.0000,-8.5016,0.0000
37.7912,1.5488,54.2931,ball,1,1,0.0000,-8.3688,0.0000
37.5922,1.6806,54.1451,ball,1,1,0.0000,-8.2388,0.0000
37.3936,1.8109,53.9982,ball,1,1,0.0000,-8.1115,0.0000
37.1952,1.9399,53.8524,ball,1,1,0.0000,-7.9868,0.0000
36.9973,2.0673,53.7077,ball,1,1,0.0000,-7.8647,0.0000
36.7996,2.1934,53.5640,ball,1,1,0.0000,-7.7451,0.0000
36.6023,2.3180,53.4214,ball,1,1,0.0000,-7.6279,0.0000
36.4053,2.4412,53.2799,ball,1,1,0.0000,-7.5131,0.0000
36.2087,2.5629,53.1393,ball,1,1,0.0000,-7.4007,0.0000
36.0125,2.6833,52.9998,ball,1,1,0.0000,-7.2905,0.0000
35.8166,2.8023,52.8613,ball,1,1,0.0000,-7.1825,0.0000
35.6210,2.9199,52.7237,ball,1,1,0.0000,-7.0766,0.0000
35.4258,3.0361,52.5871,ball,1,1,0.0000,-6.9729,0.0000
35.2310,3.1509,52.4514,ball,1,1,0.0000,-6.8712,0.0000
35.0365,3.2644,52.3167,ball,1,1,0.0000,-6.7715,0.0000
34.8424,3.3765,52.1829,ball,1,1,0.0000,-6.6737,0.0000
34.6487,3.4872,52.0499,ball,1,1,0.0000,-6.5779,0.0000
34.4554,3.5966,51.9179,ball,1,1,0.0000,-6.4839,0.0000
34.2624,3.7047,51.7868,ball,1,1,0.0000,-6.3917,0.0000
34.0698,3.8114,51.6565,ball,1,1,0.0000,-6.3012,0.0000
33.8776,3.9168,51.5271,ball,1,1,0.0000,-6.2125,0.0000
33.6857,4.0208,51.3986,ball,1,1,0.0000,-6.1255,0.0000
33.4943,4.1236,51.2709,ball,1,1,0.0000,-6.0401,0.0000
33.3032,4.2250,51.1440,ball,1,1,0.0000,-5.9564,0.0000
33.1125,4.3251,51.0179,ball,1,1,0.0000,-5.8742,0.0000
32.9222,4.4240,50.8926,ball,1,1,0.0000,-5.7935,0.0000
32.7322,4.5215,50.7681,ball,1,1,0.0000,-5.7143,0.0000
32.5427,4.6178,50.6444,ball,1,1,0.0000,-5.6366,0.0000
32.3535,4.7127,50.5214,ball,1,1,0.0000,-5.5603,0.0000
32.1647,4.8064,50.3992,ball,1,1,0.0000,-5.4854,0.0000
31.9763,4.8989,50.2777,ball,1,1,0.0000,-5.4119,0.0000
31.7883,4.9900,50.1570,ball,1,1,0.0000,-5.3397,0.0000
31.6007,5.0799,50.0370,ball,1,1,0.0000,-5.2688,0.0000
31.4134,5.1686,49.9178,ball,1,1,0.0000,-5.1992,0.0000
31.2266,5.2560,49.7992,ball,1,1,0.0000,-5.1308,0.0000
31.0401,5.3422,49.6814,ball,1,1,0.0000,-5.0636,0.0000
30.8540,5.4271,49.5642,ball,1,1,0.0000,-4.9976,0.0000
30.6683,5.5108,49.4477,ball,1,1,0.0000,-4.9328,0.0000
30.4830,5.5932,49.3319,ball,1,1,0.0000,-4.8691,0.0000
30.2981,5.6745,49.2167,ball,1,1,0.0000,-4.8065,0.0000
30.1135,5.7545,49.1022,ball,1,1,0.0000,-4.7450,0.0000
29.9294,5.8333,48.9884,ball,1,1,0.0000,-4.6846,0.0000
29.7456,5.9109,48.8752,ball,1,1,0.0000,-4.6252,0.0000
29.5622,5.9873,48.7626,ball,1,1,0.0000,-4.5669,0.0000
29.3792,6.0625,48.6507,ball,1,1,0.0000,-4.5095,0.0000
29.1966,6.1365,48.5393,ball,1,1,0.0000,-4.4531,0.0000
29.0144,6.2094,48.4286,ball,1,1,0.0000,-4.3976,0.0000
28.8325,6.2810,48.3185,ball,1,1,0.0000,-4.3431,0.0000
28.6511,6.3515,48.2089,ball,1,1,0.0000,-4.2895,0.0000
28.4700,6.4208,48.1000,ball,1,1,0.0000,-4.2368,0.0000
28.2893,6.4889,47.9916,ball,1,1,0.0000,-4.1849,0.0000
28.1090,6.5558,47.8838,ball,1,1,0.0000,-4.1339,0.0000
27.9290,6.6216,47.7766,ball,1,1,0.0000,-4.0838,0.0000
27.7495,6.6862,47.6699,ball,1,1,0.0000,-4.0344,0.0000
27.5703,6.7497,47.5638,ball,1,1,0.0000,-3.9859,0.0000
27.3915,6.8120,47.4582,ball,1,1,0.0000,-3.9382,0.0000
27.2131,6.8732,47.3532,ball,1,1,0.0000,-3.8912,0.0000
27.0350,6.9332,47.2487,ball,1,1,0.0000,-3.8450,0.0000
26.8574,6.9921,47.1447,ball,1,1,0.0000,-3.7995,0.0000
26.6801,7.0499,47.0413,ball,1,1,0.0000,-3.7547,0.0000
26.5031,7.1065,46.9383,ball,1,1,0.0000,-3.7107,0.0000
26.3266,7.1620,46.8359,ball,1,1,0.0000,-3.6673,0.0000
26.1504,7.2164,46.7340,ball,1,1,0.0000,-3.6246,0.0000
25.9746,7.2697,46.6326,ball,1,1,0.0000,-3.5826,0.0000
25.7992,7.3219,46.5317,ball,1,1,0.0000,-3.5412,0.0000
25.6241,7.3729,46.4312,ball,1,1,0.0000,-3.5005,0.0000
25.4494,7.4228,46.3313,ball,1,1,0.0000,-3.4604,0.0000
25.2751,7.4717,46.2318,ball,1,1,0.0000,-3.4209,0.0000
25.1011,7.5194,46.1328,ball,1,1,0.0000,-3.3820,0.0000
24.9275,7.5660,46.0342,ball,1,1,0.0000,-3.3437,0.0000
24.7543,7.6116,45.9361,ball,1,1,0.0000,-3.3060,0.0000
24.5814,7.6560,45.8385,ball,1,1,0.0000,-3.2689,0.0000
24.4089,7.6994,45.7413,ball,1,1,0.0000,-3.2323,0.0000
24.2368,7.7417,45.6446,ball,1,1,0.0000,-3.1962,0.0000
24.0650,7.7829,45.5483,ball,1,1,0.0000,-3.1607,0.0000
