x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,14.0000,ball,1,1,0.0000,-10.0000,0.0000
29.7432,0.1012,14.1136,ball,1,1,0.0000,-9.8349,0.0000
29.4878,0.2011,14.2276,ball,1,1,0.0000,-9.6734,0.0000
29.2338,0.2996,14.3419,ball,1,1,0.0000,-9.5153,0.0000
28.9811,0.3967,14.4565,ball,1,1,0.0000,-9.3606,0.0000
28.7298,0.4925,14.5715,ball,1,1,0.0000,-9.2092,0.0000
28.4797,0.5870,14.6867,ball,1,1,0.0000,-9.0610,0.0000
28.2310,0.6801,14.8022,ball,1,1,0.0000,-8.9159,0.0000
27.9835,0.7719,14.9179,ball,1,1,0.0000,-8.7738,0.0000
27.7374,0.8624,15.0339,ball,1,1,0.0000,-8.6347,0.0000
27.4924,0.9516,15.1501,ball,1,1,0.0000,-8.4984,0.0000
27.2487,1.0395,15.2666,ball,1,1,0.0000,-8.3650,0.0000
27.0063,1.1261,15.3832,ball,1,1,0.0000,-8.2342,0.0000
26.7651,1.2114,15.5001,ball,1,1,0.0000,-8.1062,0.0000
26.5250,1.2953,15.6171,ball,1,1,0.0000,-7.9807,0.0000
26.2862,1.3781,15.7343,ball,1,1,0.0000,-7.8578,0.0000
26.0486,1.4595,15.8517,ball,1,1,0.0000,-7.7373,0.0000
25.8121,1.5397,15.9692,ball,1,1,0.0000,-7.6193,0.0000
25.5767,1.6186,16.0869,ball,1,1,0.0000,-7.5036,0.0000
25.3426,1.6963,16.2047,ball,1,1,0.0000,-7.3902,0.0000
25.1095,1.7727,16.3226,ball,1,1,0.0000,-7.2790,0.0000
24.8776,1.8479,16.4406,ball,1,1,0.0000,-7.1700,0.0000
24.6467,1.9218,16.5588,ball,1,1,0.0000,-7.0631,0.0000
24.4170,1.9945,16.6770,ball,1,1,0.0000,-6.9583,0.0000
24.1883,2.0660,16.7953,ball,1,1,0.0000,-6.8556,0.0000
23.9607,2.1363,16.9137,ball,1,1,0.0000,-6.7548,0.0000
23.7342,2.2053,17.0322,ball,1,1,0.0000,-6.6559,0.0000
23.5088,2.2732,17.1508,ball,1,1,0.0000,-6.5589,0.0000
23.2843,2.3398,17.2694,ball,1,1,0.0000,-6.4638,0.0000
23.0609,2.4052,17.3880,ball,1,1,0.0000,-6.3705,0.0000
22.8386,2.4695,17.5067,ball,1,1,0.0000,-6.2789,0.0000
22.6172,2.5325,17.6254,ball,1,1,0.0000,-6.1890,0.0000
22.3968,2.5944,17.7442,ball,1,1,0.0000,-6.1008,0.0000
22.1774,2.6551,17.8630,ball,1,1,0.0000,-6.0142,0.0000
21.9590,2.7146,17.9818,ball,1,1,0.0000,-5.9293,0.0000
21.7416,2.7730,18.1006,ball,1,1,0.0000,-5.8459,0.0000
21.5251,2.8301,18.2194,ball,1,1,0.0000,-5.7640,0.0000
21.3096,2.8862,18.3382,ball,1,1,0.0000,-5.6836,0.0000
21.0950,2.9411,18.4570,ball,1,1,0.0000,-5.6047,0.0000
20.8814,2.9948,18.5758,ball,1,1,0.0000,-5.5272,0.0000
20.6686,3.0474,18.6946,ball,1,1,0.0000,-5.4510,0.0000
20.4568,3.0988,18.8133,ball,1,1,0.0000,-5.3763,0.0000
20.2459,3.1491,18.9321,ball,1,1,0.0000,-5.3029,0.0000
20.0359,3.1983,19.0508,ball,1,1,0.0000,-5.2307,0.0000
19.8268,3.2463,19.1694,ball,1,1,0.0000,-5.1599,0.0000
19.6185,3.2933,19.2881,ball,1,1,0.0000,-5.0902,0.0000
19.4112,3.3391,19.4066,ball,1,1,0.0000,-5.0218,0.0000
19.2046,3.3838,19.5252,ball,1,1,0.0000,-4.9546,0.0000
18.9990,3.4273,19.6436,ball,1,1,0.0000,-4.8886,0.0000
18.7942,3.4698,19.7620,ball,1,1,0.0000,-4.8237,0.0000
18.5902,3.5112,19.8804,ball,1,1,0.0000,-4.7599,0.0000
18.3871,3.5515,19.9987,ball,1,1,0.0000,-4.6972,0.0000
18.1848,3.5907,20.1169,ball,1,1,0.0000,-4.6355,0.0000
17.9833,3.6287,20.2351,ball,1,1,0.0000,-4.5749,0.0000
17.7826,3.6658,20.3531,ball,1,1,0.0000,-4.5154,0.0000
17.5827,3.7017,20.4711,ball,1,1,0.0000,-4.4568,0.0000
17.3836,3.7365,20.5890,ball,1,1,0.0000,-4.3992,0.0000
17.1853,3.7703,20.7069,ball,1,1,0.0000,-4.3425,0.0000
16.9878,3.8030,20.8246,ball,1,1,0.0000,-4.2868,0.0000
16.7910,3.8346,20.9423,ball,1,1,0.0000,-4.2321,0.0000
16.5950,3.8652,21.0598,ball,1,1,0.0000,-4.1782,0.0000
16.3998,3.8947,21.1773,ball,1,1,0.0000,-4.1252,0.0000
16.2053,3.9232,21.2946,ball,1,1,0.0000,-4.0730,0.0000
16.0116,3.9506,21.4119,ball,1,1,0.0000,-4.0217,0.0000
15.8186,3.9770,21.5290,ball,1,1,0.0000,-3.9712,0.0000
15.6264,4.0023,21.6461,ball,1,1,0.0000,-3.9216,0.0000
15.4349,4.0265,21.7630,ball,1,1,0.0000,-3.8727,0.0000
15.2441,4.0498,21.8798,ball,1,1,0.0000,-3.8246,0.0000
15.0540,4.0720,21.9965,ball,1,1,0.0000,-3.7773,0.0000
14.8646,4.0931,22.1131,ball,1,1,0.0000,-3.7307,0.0000
14.6759,4.1133,22.2296,ball,1,1,0.0000,-3.6848,0.0000
14.4880,4.1324,22.3460,ball,1,1,0.0000,-3.6397,0.0000
14.3007,4.1505,22.4622,ball,1,1,0.0000,-3.5952,0.0000
14.1141,4.1675,22.5783,ball,1,1,0.0000,-3.5515,0.0000
13.9282,4.1836,22.6943,ball,1,1,0.0000,-3.5084,0.0000
13.7429,4.1986,22.8101,ball,1,1,0.0000,-3.4660,0.0000
13.5584,4.2127,22.9258,ball,1,1,0.0000,-3.4242,0.0000
13.3745,4.2257,23.0414,ball,1,1,0.0000,-3.3831,0.0000
13.1912,4.2377,23.1569,ball,1,1,0.0000,-3.3426,0.0000
13.0087,4.2487,23.2722,ball,1,1,0.0000,-3.3027,0.0000
12.8267,4.2588,23.3874,ball,1,1,0.0000,-3.2634,0.0000
12.6454,4.2678,23.5025,ball,1,1,0.0000,-3.2247,0.0000
12.4648,4.2758,23.6174,ball,1,1,0.0000,-3.1866,0.0000
12.2848,4.2829,23.7321,ball,1,1,0.0000,-3.1490,0.0000
12.1054,4.2889,23.8468,ball,1,1,0.0000,-3.1120,0.0000
11.9266,4.2940,23.9612,ball,1,1,0.0000,-3.0755,0.0000
11.7485,4.2981,24.0756,ball,1,1,0.0000,-3.0396,0.0000
11.5709,4.3012,24.1898,ball,1,1,0.0000,-3.0042,0.0000
11.3940,4.3034,24.3038,ball,1,1,0.0000,-2.9693,0.0000
11.2177,4.3046,24.4177,ball,1,1,0.0000,-2.9349,0.0000
11.0420,4.3048,24.5315,ball,1,1,0.0000,-2.9010,0.0000
10.8669,4.3040,24.6451,ball,1,1,0.0000,-2.8676,0.0000
10.6924,4.3023,24.7585,ball,1,1,0.0000,-2.8347,0.0000
10.5184,4.2996,24.8718,ball,1,1,0.0000,-2.8022,0.0000
10.3451,4.2960,24.9850,ball,1,1,0.0000,-2.7702,0.0000
10.1723,4.2914,25.0979,ball,1,1,0.0000,-2.7386,0.0000
10.0001,4.2858,25.2108,ball,1,1,0.0000,-2.7075,0.0000
9.8285,4.2793,25.3234,ball,1,1,0.0000,-2.6768,0.0000
9.6575,4.2719,25.4360,ball,1,1,0.0000,-2.6466,0.0000
9.4870,4.2635,25.5483,ball,1,1,0.0000,-2.6167,0.0000
9.3171,4.2541,25.6605,ball,1,1,0.0000,-2.5873,0.0000
9.1477,4.2439,25.7726,ball,1,1,0.0000,-2.5583,0.0000
8.9789,4.2326,25.8844,ball,1,1,0.0000,-2.5297,0.0000
8.8106,4.2205,25.9962,ball,1,1,0.0000,-2.5014,0.0000
8.6429,4.2074,26.1077,ball,1,1,0.0000,-2.4736,0.0000
8.4758,4.1934,26.2191,ball,1,1,0.0000,-2.4461,0.0000
8.3091,4.1785,26.3303,ball,1,1,0.0000,-2.4190,0.0000
8.1430,4.1626,26.4414,ball,1,1,0.0000,-2.3923,0.0000
7.9774,4.1458,26.5523,ball,1,1,0.0000,-2.3659,0.0000
7.8124,4.1281,26.6630,ball,1,1,0.0000,-2.3399,0.0000
7.6479,4.1095,26.7736,ball,1,1,0.0000,-2.3142,0.0000
7.4839,4.0899,26.8840,ball,1,1,0.0000,-2.2888,0.0000
7.3204,4.0695,26.9942,ball,1,1,0.0000,-2.2638,0.0000
7.1574,4.0481,27.1043,ball,1,1,0.0000,-2.2391,0.0000
6.9950,4.0258,27.2142,ball,1,1,0.0000,-2.2147,0.0000
6.8330,4.0026,27.3239,ball,1,1,0.0000,-2.1907,0.0000
6.6716,3.9785,27.4335,ball,1,1,0.0000,-2.1669,0.0000
6.5107,3.9535,27.5429,ball,1,1,0.0000,-2.1435,0.0000
6.3502,3.9276,27.6521,ball,1,1,0.0000,-2.1204,0.0000
6.1903,3.9008,27.7611,ball,1,1,0.0000,-2.0975,0.0000
6.0308,3.8731,27.8700,ball,1,1,0.0000,-2.0750,0.0000
5.8719,3.8446,27.9787,ball,1,1,0.0000,-2.0527,0.0000
5.7134,3.8151,28.0872,ball,1,1,0.0000,-2.0307,0.0000
5.5554,3.7847,28.1956,ball,1,1,0.0000,-2.0090,0.0000
5.3979,3.7535,28.3038,ball,1,1,0.0000,-1.9875,0.0000
5.2409,3.7213,28.4118,ball,1,1,0.0000,-1.9664,0.0000
5.0843,3.6883,28.5196,ball,1,1,0.0000,-1.9455,0.0000
4.9282,3.6544,28.6273,ball,1,1,0.0000,-1.9248,0.0000
4.7726,3.6196,28.7348,ball,1,1,0.0000,-1.9044,0.0000
4.6175,3.5840,28.8421,ball,1,1,0.0000,-1.8843,0.0000
4.4628,3.5474,28.9492,ball,1,1,0.0000,-1.8643,0.0000
4.3086,3.5100,29.0562,ball,1,1,0.0000,-1.8447,0.0000
4.1548,3.4718,29.1630,ball,1,1,0.0000,-1.8253,0.0000
4.0015,3.4326,29.2696,ball,1,1,0.0000,-1.8061,0.0000
3.8487,3.3926,29.3761,ball,1,1,0.0000,-1.7871,0.0000
3.6963,3.3517,29.4823,ball,1,1,0.0000,-1.7684,0.0000
