x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,49.0000,ball,1,1,0.0000,40.0000,0.0000
29.7213,0.1012,48.9655,ball,1,1,0.0000,39.3397,0.0000
29.4441,0.2011,48.9287,ball,1,1,0.0000,38.6936,0.0000
29.1682,0.2996,48.8898,ball,1,1,0.0000,38.0613,0.0000
28.8938,0.3967,48.8487,ball,1,1,0.0000,37.4425,0.0000
28.6207,0.4925,48.8055,ball,1,1,0.0000,36.8368,0.0000
28.3491,0.5870,48.7603,ball,1,1,0.0000,36.2438,0.0000
28.0789,0.6801,48.7131,ball,1,1,0.0000,35.6632,0.0000
27.8101,0.7719,48.6639,ball,1,1,0.0000,35.0948,0.0000
27.5427,0.8624,48.6129,ball,1,1,0.0000,34.5381,0.0000
27.2768,0.9516,48.5599,ball,1,1,0.0000,33.9930,0.0000
27.0122,1.0395,48.5052,ball,1,1,0.0000,33.4590,0.0000
26.7491,1.1261,48.4486,ball,1,1,0.0000,32.9360,0.0000
26.4874,1.2113,48.3904,ball,1,1,0.0000,32.4237,0.0000
26.2270,1.2953,48.3304,ball,1,1,0.0000,31.9217,0.0000
25.9681,1.3781,48.2688,ball,1,1,0.0000,31.4298,0.0000
25.7106,1.4595,48.2055,ball,1,1,0.0000,30.9478,0.0000
25.4545,1.5397,48.1407,ball,1,1,0.0000,30.4755,0.0000
25.1998,1.6186,48.0743,ball,1,1,0.0000,30.0125,0.0000
24.9464,1.6963,48.0064,ball,1,1,0.0000,29.5587,0.0000
24.6945,1.7727,47.9371,ball,1,1,0.0000,29.1138,0.0000
24.4439,1.8479,47.8663,ball,1,1,0.0000,28.6776,0.0000
24.1947,1.9218,47.7941,ball,1,1,0.0000,28.2500,0.0000
23.9469,1.9945,47.7205,ball,1,1,0.0000,27.8306,0.0000
23.7004,2.0660,47.6456,ball,1,1,0.0000,27.4194,0.0000
23.4553,2.1362,47.5693,ball,1,1,0.0000,27.0161,0.0000
23.2115,2.2053,47.4918,ball,1,1,0.0000,26.6204,0.0000
22.9691,2.2731,47.4131,ball,1,1,0.0000,26.2324,0.0000
22.7280,2.3398,47.3331,ball,1,1,0.0000,25.8517,0.0000
22.4883,2.4052,47.2519,ball,1,1,0.0000,25.4781,0.0000
22.2499,2.4694,47.1696,ball,1,1,0.0000,25.1116,0.0000
22.0128,2.5325,47.0862,ball,1,1,0.0000,24.7520,0.0000
21.7770,2.5944,47.0016,ball,1,1,0.0000,24.3990,0.0000
21.5425,2.6550,46.9159,ball,1,1,0.0000,24.0526,0.0000
21.3093,2.7146,46.8292,ball,1,1,0.0000,23.7126,0.0000
21.0773,2.7729,46.7415,ball,1,1,0.0000,23.3788,0.0000
20.8467,2.8301,46.6528,ball,1,1,0.0000,23.0511,0.0000
20.6173,2.8861,46.5631,ball,1,1,0.0000,22.7294,0.0000
20.3892,2.9410,46.4724,ball,1,1,0.0000,22.4135,0.0000
20.1624,2.9947,46.3808,ball,1,1,0.0000,22.1033,0.0000
19.9368,3.0473,46.2883,ball,1,1,0.0000,21.7987,0.0000
19.7124,3.0987,46.1949,ball,1,1,0.0000,21.4995,0.0000
19.4893,3.1490,46.1006,ball,1,1,0.0000,21.2056,0.0000
19.2674,3.1982,46.0055,ball,1,1,0.0000,20.9170,0.0000
19.0467,3.2462,45.9096,ball,1,1,0.0000,20.6334,0.0000
18.8272,3.2932,45.8129,ball,1,1,0.0000,20.3548,0.0000
18.6089,3.3390,45.7153,ball,1,1,0.0000,20.0811,0.0000
18.3918,3.3837,45.6171,ball,1,1,0.0000,19.8121,0.0000
