x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,0.0000,ball,1,1,0.0000,-30.0000,0.0000
19.7847,0.1012,0.1803,ball,1,1,0.0000,-29.5048,0.0000
19.5716,0.2011,0.3614,ball,1,1,0.0000,-29.0202,0.0000
19.3607,0.2996,0.5433,ball,1,1,0.0000,-28.5460,0.0000
19.1518,0.3967,0.7260,ball,1,1,0.0000,-28.0819,0.0000
18.9449,0.4925,0.9094,ball,1,1,0.0000,-27.6276,0.0000
18.7402,0.5870,1.0934,ball,1,1,0.0000,-27.1829,0.0000
18.5374,0.6801,1.2782,ball,1,1,0.0000,-26.7475,0.0000
18.3366,0.7719,1.4635,ball,1,1,0.0000,-26.3212,0.0000
18.1379,0.8624,1.6494,ball,1,1,0.0000,-25.9037,0.0000
17.9410,0.9516,1.8359,ball,1,1,0.0000,-25.4949,0.0000
17.7461,1.0395,2.0230,ball,1,1,0.0000,-25.0945,0.0000
17.5531,1.1261,2.2105,ball,1,1,0.0000,-24.7023,0.0000
17.3620,1.2113,2.3985,ball,1,1,0.0000,-24.3180,0.0000
17.1728,1.2953,2.5870,ball,1,1,0.0000,-23.9416,0.0000
16.9853,1.3781,2.7759,ball,1,1,0.0000,-23.5727,0.0000
16.7997,1.4595,2.9652,ball,1,1,0.0000,-23.2113,0.0000
16.6159,1.5397,3.1550,ball,1,1,0.0000,-22.8570,0.0000
16.4339,1.6186,3.3450,ball,1,1,0.0000,-22.5098,0.0000
16.2536,1.6963,3.5354,ball,1,1,0.0000,-22.1695,0.0000
16.0750,1.7727,3.7262,ball,1,1,0.0000,-21.8359,0.0000
15.8981,1.8479,3.9172,ball,1,1,0.0000,-21.5088,0.0000
15.7230,1.9218,4.1085,ball,1,1,0.0000,-21.1881,0.0000
15.5494,1.9945,4.3001,ball,1,1,0.0000,-20.8737,0.0000
15.3776,2.0660,4.4919,ball,1,1,0.0000,-20.5653,0.0000
15.2073,2.1363,4.6840,ball,1,1,0.0000,-20.2628,0.0000
15.0387,2.2053,4.8762,ball,1,1,0.0000,-19.9662,0.0000
14.8716,2.2731,5.0686,ball,1,1,0.0000,-19.6752,0.0000
14.7061,2.3398,5.2612,ball,1,1,0.0000,-19.3897,0.0000
14.5422,2.4052,5.4540,ball,1,1,0.0000,-19.1096,0.0000
14.3797,2.4694,5.6469,ball,1,1,0.0000,-18.8347,0.0000
14.2188,2.5325,5.8399,ball,1,1,0.0000,-18.5650,0.0000
14.0594,2.5944,6.0331,ball,1,1,0.0000,-18.3004,0.0000
13.9014,2.6551,6.2263,ball,1,1,0.0000,-18.0406,0.0000
13.7449,2.7146,6.4196,ball,1,1,0.0000,-17.7856,0.0000
13.5898,2.7729,6.6130,ball,1,1,0.0000,-17.5353,0.0000
13.4361,2.8301,6.8065,ball,1,1,0.0000,-17.2896,0.0000
13.2838,2.8861,6.9999,ball,1,1,0.0000,-17.0484,0.0000
13.1330,2.9410,7.1935,ball,1,1,0.0000,-16.8115,0.0000
12.9834,2.9947,7.3870,ball,1,1,0.0000,-16.5789,0.0000
12.8352,3.0473,7.5805,ball,1,1,0.0000,-16.3505,0.0000
12.6884,3.0988,7.7741,ball,1,1,0.0000,-16.1261,0.0000
12.5428,3.1491,7.9676,ball,1,1,0.0000,-15.9058,0.0000
12.3986,3.1982,8.1611,ball,1,1,0.0000,-15.6893,0.0000
12.2556,3.2463,8.3546,ball,1,1,0.0000,-15.4767,0.0000
12.1139,3.2932,8.5480,ball,1,1,0.0000,-15.2677,0.0000
11.9734,3.3390,8.7414,ball,1,1,0.0000,-15.0625,0.0000
