x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
30.0000,0.0000,42.0000,ball,1,1,0.0000,10.0000,0.0000
29.8108,0.1087,41.9831,ball,1,1,0.0000,9.8789,0.0000
29.6222,0.2161,41.9655,ball,1,1,0.0000,9.7600,0.0000
29.4342,0.3223,41.9475,ball,1,1,0.0000,9.6430,0.0000
29.2468,0.4272,41.9289,ball,1,1,0.0000,9.5281,0.0000
29.0600,0.5308,41.9098,ball,1,1,0.0000,9.4151,0.0000
28.8737,0.6331,41.8902,ball,1,1,0.0000,9.3040,0.0000
28.6881,0.7342,41.8701,ball,1,1,0.0000,9.1947,0.0000
28.5031,0.8341,41.8494,ball,1,1,0.0000,9.0873,0.0000
28.3186,0.9327,41.8283,ball,1,1,0.0000,8.9816,0.0000
28.1347,1.0300,41.8067,ball,1,1,0.0000,8.8778,0.0000
27.9514,1.1262,41.7847,ball,1,1,0.0000,8.7756,0.0000
27.7687,1.2210,41.7622,ball,1,1,0.0000,8.6751,0.0000
27.5865,1.3147,41.7392,ball,1,1,0.0000,8.5762,0.0000
27.4049,1.4071,41.7159,ball,1,1,0.0000,8.4789,0.0000
27.2238,1.4984,41.6920,ball,1,1,0.0000,8.3832,0.0000
27.0433,1.5884,41.6678,ball,1,1,0.0000,8.2891,0.0000
26.8634,1.6772,41.6431,ball,1,1,0.0000,8.1964,0.0000
26.6840,1.7647,41.6181,ball,1,1,0.0000,8.1052,0.0000
26.5051,1.8511,41.5926,ball,1,1,0.0000,8.0155,0.0000
26.3268,1.9363,41.5668,ball,1,1,0.0000,7.9272,0.0000
26.1491,2.0203,41.5405,ball,1,1,0.0000,7.8403,0.0000
25.9718,2.1032,41.5139,ball,1,1,0.0000,7.7547,0.0000
25.7951,2.1848,41.4870,ball,1,1,0.0000,7.6704,0.0000
25.6190,2.2652,41.4596,ball,1,1,0.0000,7.5875,0.0000
25.4433,2.3445,41.4319,ball,1,1,0.0000,7.5059,0.0000
25.2682,2.4226,41.4039,ball,1,1,0.0000,7.4254,0.0000
25.0936,2.4996,41.3755,ball,1,1,0.0000,7.3463,0.0000
24.9195,2.5753,41.3468,ball,1,1,0.0000,7.2683,0.0000
24.7459,2.6500,41.3178,ball,1,1,0.0000,7.1915,0.0000
24.5728,2.7234,41.2884,ball,1,1,0.0000,7.1158,0.0000
24.4003,2.7957,41.2588,ball,1,1,0.0000,7.0413,0.0000
24.2282,2.8669,41.2288,ball,1,1,0.0000,6.9679,0.0000
24.0566,2.9369,41.1985,ball,1,1,0.0000,6.8956,0.0000
23.8855,3.0058,41.1679,ball,1,1,0.0000,6.8244,0.0000
23.7150,3.0735,41.1370,ball,1,1,0.0000,6.7542,0.0000
23.5449,3.1401,41.1059,ball,1,1,0.0000,6.6850,0.0000
23.3752,3.2056,41.0744,ball,1,1,0.0000,6.6169,0.0000
23.2061,3.2699,41.0427,ball,1,1,0.0000,6.5497,0.0000
23.0375,3.3332,41.0107,ball,1,1,0.0000,6.4835,0.0000
22.8693,3.3953,40.9785,ball,1,1,0.0000,6.4182,0.0000
22.7016,3.4563,40.9460,ball,1,1,0.0000,6.3539,0.0000
22.5344,3.5161,40.9132,ball,1,1,0.0000,6.2905,0.0000
22.3676,3.5749,40.8802,ball,1,1,0.0000,6.2280,0.0000
22.2013,3.6326,40.8469,ball,1,1,0.0000,6.1663,0.0000
22.0354,3.6891,40.8134,ball,1,1,0.0000,6.1055,0.0000
21.8701,3.7446,40.7797,ball,1,1,0.0000,6.0456,0.0000
21.7051,3.7989,40.7457,ball,1,1,0.0000,5.9865,0.0000
21.5407,3.8522,40.7115,ball,1,1,0.0000,5.9282,0.0000
21.3766,3.9044,40.6771,ball,1,1,0.0000,5.8707,0.0000
21.2130,3.9555,40.6425,ball,1,1,0.0000,5.8140,0.0000
21.0499,4.0055,40.6076,ball,1,1,0.0000,5.7581,0.0000
20.8872,4.0544,40.5726,ball,1,1,0.0000,5.7029,0.0000
20.7250,4.1022,40.5373,ball,1,1,0.0000,5.6485,0.0000
20.5631,4.1490,40.5018,ball,1,1,0.0000,5.5948,0.0000
20.4017,4.1947,40.4662,ball,1,1,0.0000,5.5418,0.0000
20.2408,4.2393,40.4303,ball,1,1,0.0000,5.4895,0.0000
20.0802,4.2829,40.3942,ball,1,1,0.0000,5.4379,0.0000
19.9201,4.3254,40.3580,ball,1,1,0.0000,5.3870,0.0000
19.7604,4.3668,40.3215,ball,1,1,0.0000,5.3367,0.0000
19.6012,4.4072,40.2849,ball,1,1,0.0000,5.2871,0.0000
19.4423,4.4465,40.2481,ball,1,1,0.0000,5.2381,0.0000
19.2839,4.4848,40.2112,ball,1,1,0.0000,5.1898,0.0000
19.1258,4.5220,40.1740,ball,1,1,0.0000,5.1420,0.0000
18.9682,4.5581,40.1367,ball,1,1,0.0000,5.0949,0.0000
18.8110,4.5933,40.0993,ball,1,1,0.0000,5.0484,0.0000
18.6542,4.6273,40.0616,ball,1,1,0.0000,5.0025,0.0000
18.4978,4.6604,40.0238,ball,1,1,0.0000,4.9571,0.0000
18.3418,4.6924,39.9859,ball,1,1,0.0000,4.9123,0.0000
18.1862,4.7233,39.9478,ball,1,1,0.0000,4.8680,0.0000
18.0310,4.7533,39.9095,ball,1,1,0.0000,4.8243,0.0000
17.8762,4.7822,39.8711,ball,1,1,0.0000,4.7812,0.0000
17.7217,4.8100,39.8326,ball,1,1,0.0000,4.7385,0.0000
17.5677,4.8369,39.7939,ball,1,1,0.0000,4.6964,0.0000
17.4140,4.8627,39.7551,ball,1,1,0.0000,4.6548,0.0000
17.2608,4.8875,39.7161,ball,1,1,0.0000,4.6136,0.0000
17.1079,4.9113,39.6770,ball,1,1,0.0000,4.5730,0.0000
16.9554,4.9340,39.6378,ball,1,1,0.0000,4.5328,0.0000
16.8033,4.9558,39.5984,ball,1,1,0.0000,4.4932,0.0000
16.6515,4.9765,39.5589,ball,1,1,0.0000,4.4539,0.0000
16.5001,4.9963,39.5193,ball,1,1,0.0000,4.4152,0.0000
16.3491,5.0150,39.4796,ball,1,1,0.0000,4.3769,0.0000
16.1985,5.0327,39.4398,ball,1,1,0.0000,4.3390,0.0000
