x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
40.0000,0.0000,56.0000,ball,1,1,0.0000,40.0000,0.0000
39.7412,0.1484,56.0029,ball,1,1,0.0000,39.3397,0.0000
39.4835,0.2953,56.0035,ball,1,1,0.0000,38.6939,0.0000
39.2267,0.4406,56.0017,ball,1,1,0.0000,38.0623,0.0000
38.9710,0.5844,55.9975,ball,1,1,0.0000,37.4444,0.0000
38.7163,0.7267,55.9912,ball,1,1,0.0000,36.8399,0.0000
38.4627,0.8675,55.9826,ball,1,1,0.0000,36.2484,0.0000
38.2101,1.0067,55.9719,ball,1,1,0.0000,35.6696,0.0000
37.9585,1.1444,55.9590,ball,1,1,0.0000,35.1031,0.0000
37.7081,1.2807,55.9441,ball,1,1,0.0000,34.5486,0.0000
37.4587,1.4155,55.9272,ball,1,1,0.0000,34.0059,0.0000
37.2104,1.5488,55.9082,ball,1,1,0.0000,33.4745,0.0000
36.9632,1.6806,55.8874,ball,1,1,0.0000,32.9543,0.0000
36.7171,1.8109,55.8647,ball,1,1,0.0000,32.4449,0.0000
36.4720,1.9399,55.8401,ball,1,1,0.0000,31.9460,0.0000
36.2281,2.0673,55.8137,ball,1,1,0.0000,31.4574,0.0000
35.9853,2.1934,55.7855,ball,1,1,0.0000,30.9788,0.0000
35.7435,2.3180,55.7556,ball,1,1,0.0000,30.5100,0.0000
35.5029,2.4412,55.7240,ball,1,1,0.0000,30.0507,0.0000
35.2634,2.5629,55.6907,ball,1,1,0.0000,29.6007,0.0000
35.0250,2.6833,55.6558,ball,1,1,0.0000,29.1597,0.0000
34.7877,2.8023,55.6193,ball,1,1,0.0000,28.7276,0.0000
34.5515,2.9199,55.5813,ball,1,1,0.0000,28.3040,0.0000
34.3164,3.0361,55.5418,ball,1,1,0.0000,27.8888,0.0000
34.0824,3.1509,55.5007,ball,1,1,0.0000,27.4819,0.0000
33.8495,3.2643,55.4582,ball,1,1,0.0000,27.0829,0.0000
33.6177,3.3764,55.4143,ball,1,1,0.0000,26.6917,0.0000
33.3870,3.4872,55.3691,ball,1,1,0.0000,26.3081,0.0000
33.1574,3.5966,55.3224,ball,1,1,0.0000,25.9319,0.0000
32.9289,3.7046,55.2744,ball,1,1,0.0000,25.5629,0.0000
32.7015,3.8113,55.2251,ball,1,1,0.0000,25.2011,0.0000
32.4752,3.9167,55.1746,ball,1,1,0.0000,24.8461,0.0000
32.2499,4.0208,55.1228,ball,1,1,0.0000,24.4978,0.0000
32.0258,4.1235,55.0698,ball,1,1,0.0000,24.1562,0.0000
31.8027,4.2249,55.0156,ball,1,1,0.0000,23.8209,0.0000
31.5807,4.3251,54.9603,ball,1,1,0.0000,23.4920,0.0000
31.3597,4.4239,54.9038,ball,1,1,0.0000,23.1691,0.0000
31.1398,4.5214,54.8462,ball,1,1,0.0000,22.8523,0.0000
30.9210,4.6177,54.7875,ball,1,1,0.0000,22.5412,0.0000
30.7032,4.7126,54.7278,ball,1,1,0.0000,22.2359,0.0000
30.4865,4.8063,54.6670,ball,1,1,0.0000,21.9362,0.0000
30.2708,4.8988,54.6052,ball,1,1,0.0000,21.6419,0.0000
30.0562,4.9899,54.5424,ball,1,1,0.0000,21.3530,0.0000
29.8425,5.0798,54.4787,ball,1,1,0.0000,21.0692,0.0000
29.6300,5.1685,54.4140,ball,1,1,0.0000,20.7906,0.0000
29.4184,5.2559,54.3483,ball,1,1,0.0000,20.5169,0.0000
29.2078,5.3420,54.2818,ball,1,1,0.0000,20.2481,0.0000
28.9983,5.4269,54.2144,ball,1,1,0.0000,19.9840,0.0000
28.7898,5.5106,54.1461,ball,1,1,0.0000,19.7246,0.0000
28.5822,5.5931,54.0770,ball,1,1,0.0000,19.4697,0.0000
28.3757,5.6743,54.0070,ball,1,1,0.0000,19.2192,0.0000
28.1701,5.7543,53.9363,ball,1,1,0.0000,18.9732,0.0000
27.9656,5.8331,53.8647,ball,1,1,0.0000,18.7313,0.0000
27.7620,5.9107,53.7924,ball,1,1,0.0000,18.4936,0.0000
27.5593,5.9871,53.7193,ball,1,1,0.0000,18.2600,0.0000
27.3576,6.0623,53.6455,ball,1,1,0.0000,18.0304,0.0000
27.1569,6.1363,53.5710,ball,1,1,0.0000,17.8047,0.0000
26.9572,6.2091,53.4958,ball,1,1,0.0000,17.5827,0.0000
26.7584,6.2808,53.4199,ball,1,1,0.0000,17.3645,0.0000
26.5605,6.3512,53.3433,ball,1,1,0.0000,17.1500,0.0000
26.3635,6.4205,53.2660,ball,1,1,0.0000,16.9390,0.0000
26.1675,6.4886,53.1882,ball,1,1,0.0000,16.7315,0.0000
25.9724,6.5555,53.1096,ball,1,1,0.0000,16.5275,0.0000
25.7782,6.6213,53.0305,ball,1,1,0.0000,16.3268,0.0000
25.5849,6.6859,52.9508,ball,1,1,0.0000,16.1293,0.0000
25.3925,6.7494,52.8705,ball,1,1,0.0000,15.9351,0.0000
25.2010,6.8117,52.7896,ball,1,1,0.0000,15.7440,0.0000
25.0104,6.8728,52.7082,ball,1,1,0.0000,15.5560,0.0000
24.8207,6.9329,52.6262,ball,1,1,0.0000,15.3711,0.0000
24.6318,6.9918,52.5437,ball,1,1,0.0000,15.1890,0.0000
24.4438,7.0495,52.4607,ball,1,1,0.0000,15.0099,0.0000
24.2567,7.1061,52.3771,ball,1,1,0.0000,14.8336,0.0000
24.0705,7.1616,52.2931,ball,1,1,0.0000,14.6601,0.0000
23.8851,7.2160,52.2086,ball,1,1,0.0000,14.4893,0.0000
23.7005,7.2693,52.1236,ball,1,1,0.0000,14.3211,0.0000
23.5167,7.3214,52.0382,ball,1,1,0.0000,14.1556,0.0000
23.3338,7.3724,51.9523,ball,1,1,0.0000,13.9926,0.0000
23.1518,7.4224,51.8659,ball,1,1,0.0000,13.8322,0.0000
22.9705,7.4712,51.7792,ball,1,1,0.0000,13.6742,0.0000
22.7901,7.5189,51.6920,ball,1,1,0.0000,13.5186,0.0000
22.6104,7.5655,51.6044,ball,1,1,0.0000,13.3654,0.0000
22.4316,7.6111,51.5164,ball,1,1,0.0000,13.2144,0.0000
22.2536,7.6555,51.4280,ball,1,1,0.0000,13.0658,0.0000
22.0763,7.6988,51.3393,ball,1,1,0.0000,12.9194,0.0000
21.8999,7.7411,51.2501,ball,1,1,0.0000,12.7751,0.0000
21.7242,7.7823,51.1607,ball,1,1,0.0000,12.6330,0.0000
21.5493,7.8224,51.0708,ball,1,1,0.0000,12.4930,0.0000
21.3751,7.8615,50.9806,ball,1,1,0.0000,12.3551,0.0000
21.2018,7.8994,50.8901,ball,1,1,0.0000,12.2191,0.0000
21.0291,7.9364,50.7993,ball,1,1,0.0000,12.0852,0.0000
20.8573,7.9722,50.7081,ball,1,1,0.0000,11.9531,0.0000
20.6861,8.0070,50.6166,ball,1,1,0.0000,11.8230,0.0000
20.5158,8.0407,50.5248,ball,1,1,0.0000,11.6948,0.0000
20.3461,8.0734,50.4327,ball,1,1,0.0000,11.5684,0.0000
20.1772,8.1050,50.3404,ball,1,1,0.0000,11.4438,0.0000
20.0090,8.1356,50.2477,ball,1,1,0.0000,11.3209,0.0000
19.8415,8.1651,50.1548,ball,1,1,0.0000,11.1998,0.0000
19.6747,8.1936,50.0616,ball,1,1,0.0000,11.0803,0.0000
19.5087,8.2210,49.9682,ball,1,1,0.0000,10.9626,0.0000
19.3433,8.2475,49.8745,ball,1,1,0.0000,10.8465,0.0000
19.1786,8.2728,49.7805,ball,1,1,0.0000,10.7319,0.0000
19.0147,8.2972,49.6864,ball,1,1,0.0000,10.6190,0.0000
18.8514,8.3205,49.5919,ball,1,1,0.0000,10.5076,0.0000
18.6888,8.3428,49.4973,ball,1,1,0.0000,10.3977,0.0000
18.5269,8.3641,49.4024,ball,1,1,0.0000,10.2893,0.0000
18.3656,8.3843,49.3073,ball,1,1,0.0000,10.1824,0.0000
18.2050,8.4036,49.2121,ball,1,1,0.0000,10.0769,0.0000
18.0451,8.4218,49.1166,ball,1,1,0.0000,9.9728,0.0000
17.8859,8.4390,49.0209,ball,1,1,0.0000,9.8701,0.0000
17.7273,8.4552,48.9250,ball,1,1,0.0000,9.7688,0.0000
17.5693,8.4704,48.8289,ball,1,1,0.0000,9.6688,0.0000
17.4120,8.4846,48.7327,ball,1,1,0.0000,9.5701,0.0000
17.2553,8.4978,48.6362,ball,1,1,0.0000,9.4727,0.0000
17.0993,8.5100,48.5396,ball,1,1,0.0000,9.3766,0.0000
16.9439,8.5212,48.4429,ball,1,1,0.0000,9.2817,0.0000
16.7891,8.5314,48.3459,ball,1,1,0.0000,9.1880,0.0000
16.6350,8.5406,48.2489,ball,1,1,0.0000,9.0955,0.0000
16.4814,8.5489,48.1516,ball,1,1,0.0000,9.0043,0.0000
16.3285,8.5561,48.0542,ball,1,1,0.0000,8.9141,0.0000
16.1762,8.5624,47.9567,ball,1,1,0.0000,8.8251,0.0000
16.0245,8.5677,47.8591,ball,1,1,0.0000,8.7373,0.0000
15.8734,8.5720,47.7613,ball,1,1,0.0000,8.6505,0.0000
15.7229,8.5753,47.6633,ball,1,1,0.0000,8.5648,0.0000
15.5730,8.5776,47.5653,ball,1,1,0.0000,8.4802,0.0000
15.4237,8.5790,47.4671,ball,1,1,0.0000,8.3966,0.0000
15.2749,8.5794,47.3688,ball,1,1,0.0000,8.3140,0.0000
15.1268,8.5789,47.2704,ball,1,1,0.0000,8.2324,0.0000
14.9792,8.5774,47.1719,ball,1,1,0.0000,8.1519,0.0000
14.8322,8.5749,47.0733,ball,1,1,0.0000,8.0723,0.0000
14.6858,8.5715,46.9746,ball,1,1,0.0000,7.9937,0.0000
14.5399,8.5671,46.8758,ball,1,1,0.0000,7.9160,0.0000
14.3946,8.5617,46.7769,ball,1,1,0.0000,7.8392,0.0000
14.2499,8.5554,46.6779,ball,1,1,0.0000,7.7634,0.0000
14.1057,8.5481,46.5788,ball,1,1,0.0000,7.6884,0.0000
13.9620,8.5399,46.4797,ball,1,1,0.0000,7.6143,0.0000
13.8189,8.5308,46.3804,ball,1,1,0.0000,7.5411,0.0000
13.6764,8.5207,46.2811,ball,1,1,0.0000,7.4688,0.0000
13.5344,8.5097,46.1817,ball,1,1,0.0000,7.3972,0.0000
13.3929,8.4977,46.0822,ball,1,1,0.0000,7.3266,0.0000
13.2520,8.4848,45.9827,ball,1,1,0.0000,7.2567,0.0000
13.1116,8.4709,45.8831,ball,1,1,0.0000,7.1876,0.0000
12.9717,8.4561,45.7835,ball,1,1,0.0000,7.1193,0.0000
12.8324,8.4404,45.6838,ball,1,1,0.0000,7.0518,0.0000
12.6936,8.4238,45.5840,ball,1,1,0.0000,6.9850,0.0000
12.5553,8.4062,45.4842,ball,1,1,0.0000,6.9190,0.0000
12.4175,8.3877,45.3843,ball,1,1,0.0000,6.8537,0.0000
12.2802,8.3683,45.2844,ball,1,1,0.0000,6.7892,0.0000
12.1435,8.3479,45.1844,ball,1,1,0.0000,6.7253,0.0000
12.0072,8.3266,45.0844,ball,1,1,0.0000,6.6622,0.0000
11.8714,8.3045,44.9844,ball,1,1,0.0000,6.5997,0.0000
11.7362,8.2814,44.8843,ball,1,1,0.0000,6.5380,0.0000
11.6014,8.2573,44.7842,ball,1,1,0.0000,6.4769,0.0000
11.4672,8.2324,44.6841,ball,1,1,0.0000,6.4164,0.0000
