x,y,z,object_type,width,height,orientation_x,orientation_y,orientation_z
20.0000,0.0000,35.0000,ball,1,1,0.0000,50.0000,0.0000
19.8158,0.0741,35.0925,ball,1,1,0.0000,49.3947,0.0000
19.6313,0.1469,35.1832,ball,1,1,0.0000,48.7994,0.0000
19.4467,0.2186,35.2721,ball,1,1,0.0000,48.2139,0.0000
19.2619,0.2892,35.3593,ball,1,1,0.0000,47.6379,0.0000
19.0769,0.3585,35.4448,ball,1,1,0.0000,47.0712,0.0000
18.8917,0.4267,35.5285,ball,1,1,0.0000,46.5136,0.0000
18.7064,0.4937,35.6106,ball,1,1,0.0000,45.9651,0.0000
18.5210,0.5596,35.6909,ball,1,1,0.0000,45.4253,0.0000
18.3356,0.6243,35.7696,ball,1,1,0.0000,44.8941,0.0000
18.1500,0.6879,35.8467,ball,1,1,0.0000,44.3713,0.0000
17.9644,0.7504,35.9222,ball,1,1,0.0000,43.8567,0.0000
17.7787,0.8116,35.9960,ball,1,1,0.0000,43.3503,0.0000
17.5930,0.8718,36.0683,ball,1,1,0.0000,42.8517,0.0000
17.4073,0.9308,36.1389,ball,1,1,0.0000,42.3609,0.0000
17.2215,0.9887,36.2081,ball,1,1,0.0000,41.8777,0.0000
17.0358,1.0455,36.2757,ball,1,1,0.0000,41.4020,0.0000
16.8501,1.1011,36.3417,ball,1,1,0.0000,40.9335,0.0000
16.6644,1.1557,36.4063,ball,1,1,0.0000,40.4722,0.0000
16.4788,1.2091,36.4694,ball,1,1,0.0000,40.0180,0.0000
16.2933,1.2614,36.5310,ball,1,1,0.0000,39.5705,0.0000
16.1078,1.3126,36.5912,ball,1,1,0.0000,39.1299,0.0000
15.9224,1.3627,36.6499,ball,1,1,0.0000,38.6958,0.0000
15.7371,1.4117,36.7072,ball,1,1,0.0000,38.2682,0.0000
15.5519,1.4596,36.7631,ball,1,1,0.0000,37.8470,0.0000
15.3668,1.5064,36.8176,ball,1,1,0.0000,37.4319,0.0000
15.1818,1.5521,36.8707,ball,1,1,0.0000,37.0230,0.0000
14.9970,1.5968,36.9225,ball,1,1,0.0000,36.6201,0.0000
14.8124,1.6403,36.9729,ball,1,1,0.0000,36.2230,0.0000
14.6278,1.6828,37.0220,ball,1,1,0.0000,35.8318,0.0000
14.4435,1.7242,37.0698,ball,1,1,0.0000,35.4461,0.0000
14.2593,1.7645,37.1163,ball,1,1,0.0000,35.0660,0.0000
14.0753,1.8038,37.1615,ball,1,1,0.0000,34.6913,0.0000
13.8915,1.8419,37.2054,ball,1,1,0.0000,34.3220,0.0000
13.7079,1.8791,37.2481,ball,1,1,0.0000,33.9579,0.0000
13.5245,1.9151,37.2896,ball,1,1,0.0000,33.5989,0.0000
13.3413,1.9501,37.3298,ball,1,1,0.0000,33.2450,0.0000
13.1584,1.9841,37.3688,ball,1,1,0.0000,32.8960,0.0000
12.9756,2.0170,37.4065,ball,1,1,0.0000,32.5519,0.0000
12.7931,2.0488,37.4432,ball,1,1,0.0000,32.2125,0.0000
12.6109,2.0796,37.4786,ball,1,1,0.0000,31.8778,0.0000
12.4289,2.1094,37.5129,ball,1,1,0.0000,31.5477,0.0000
12.2471,2.1381,37.5460,ball,1,1,0.0000,31.2220,0.0000
12.0656,2.1658,37.5780,ball,1,1,0.0000,30.9008,0.0000
11.8844,2.1924,37.6088,ball,1,1,0.0000,30.5840,0.0000
11.7035,2.2180,37.6386,ball,1,1,0.0000,30.2714,0.0000
11.5228,2.2426,37.6673,ball,1,1,0.0000,29.9630,0.0000
11.3424,2.2662,37.6948,ball,1,1,0.0000,29.6586,0.0000
11.1623,2.2887,37.7213,ball,1,1,0.0000,29.3584,0.0000
10.9825,2.3103,37.7468,ball,1,1,0.0000,29.0620,0.0000
10.8030,2.3308,37.7712,ball,1,1,0.0000,28.7696,0.0000
10.6237,2.3502,37.7945,ball,1,1,0.0000,28.4810,0.0000
10.4448,2.3687,37.8168,ball,1,1,0.0000,28.1961,0.0000
10.2663,2.3862,37.8382,ball,1,1,0.0000,27.9150,0.0000
10.0880,2.4026,37.8585,ball,1,1,0.0000,27.6374,0.0000
9.9100,2.4181,37.8778,ball,1,1,0.0000,27.3634,0.0000
9.7324,2.4325,37.8961,ball,1,1,0.0000,27.0929,0.0000
9.5551,2.4460,37.9135,ball,1,1,0.0000,26.8258,0.0000
9.3781,2.4584,37.9299,ball,1,1,0.0000,26.5621,0.0000
9.2015,2.4699,37.9454,ball,1,1,0.0000,26.3017,0.0000
9.0252,2.4803,37.9599,ball,1,1,0.0000,26.0446,0.0000
8.8492,2.4898,37.9735,ball,1,1,0.0000,25.7906,0.0000
8.6736,2.4983,37.9861,ball,1,1,0.0000,25.5398,0.0000
8.4984,2.5058,37.9979,ball,1,1,0.0000,25.2921,0.0000
8.3235,2.5123,38.0088,ball,1,1,0.0000,25.0475,0.0000
8.1489,2.5178,38.0188,ball,1,1,0.0000,24.8058,0.0000
7.9747,2.5224,38.0279,ball,1,1,0.0000,24.5670,0.0000
7.8009,2.5259,38.0361,ball,1,1,0.0000,24.3311,0.0000
7.6274,2.5285,38.0435,ball,1,1,0.0000,24.0981,0.0000
7.4543,2.5302,38.0500,ball,1,1,0.0000,23.8679,0.0000
7.2816,2.5308,38.0557,ball,1,1,0.0000,23.6403,0.0000
7.1092,2.5305,38.0605,ball,1,1,0.0000,23.4155,0.0000
6.9372,2.5293,38.0645,ball,1,1,0.0000,23.1934,0.0000
6.7656,2.5270,38.0677,ball,1,1,0.0000,22.9738,0.0000
6.5943,2.5238,38.0701,ball,1,1,0.0000,22.7568,0.0000
6.4235,2.5197,38.0717,ball,1,1,0.0000,22.5423,0.0000
6.2530,2.5146,38.0726,ball,1,1,0.0000,22.3303,0.0000
6.0829,2.5085,38.0726,ball,1,1,0.0000,22.1208,0.0000
5.9132,2.5015,38.0719,ball,1,1,0.0000,21.9136,0.0000
5.7439,2.4935,38.0704,ball,1,1,0.0000,21.7088,0.0000
5.5749,2.4846,38.0681,ball,1,1,0.0000,21.5063,0.0000
5.4064,2.4748,38.0651,ball,1,1,0.0000,21.3061,0.0000
5.2382,2.4640,38.0614,ball,1,1,0.0000,21.1081,0.0000
5.0705,2.4522,38.0569,ball,1,1,0.0000,20.9124,0.0000
4.9031,2.4395,38.0517,ball,1,1,0.0000,20.7188,0.0000
4.7361,2.4259,38.0458,ball,1,1,0.0000,20.5274,0.0000
4.5696,2.4114,38.0392,ball,1,1,0.0000,20.3380,0.0000
4.4034,2.3959,38.0318,ball,1,1,0.0000,20.1508,0.0000
4.2376,2.3795,38.0238,ball,1,1,0.0000,19.9655,0.0000
4.0723,2.3621,38.0151,ball,1,1,0.0000,19.7823,0.0000
3.9073,2.3438,38.0057,ball,1,1,0.0000,19.6011,0.0000
3.7428,2.3246,37.9957,ball,1,1,0.0000,19.4218,0.0000
3.5786,2.3045,37.9849,ball,1,1,0.0000,19.2444,0.0000
3.4149,2.2835,37.9735,ball,1,1,0.0000,19.0689,0.0000
3.2515,2.2615,37.9615,ball,1,1,0.0000,18.8953,0.0000
3.0886,2.2386,37.9488,ball,1,1,0.0000,18.7235,0.0000
2.9261,2.2148,37.9355,ball,1,1,0.0000,18.5535,0.0000
2.7640,2.1901,37.9216,ball,1,1,0.0000,18.3853,0.0000
2.6023,2.1645,37.9070,ball,1,1,0.0000,18.2188,0.0000
2.4410,2.1380,37.8918,ball,1,1,0.0000,18.0540,0.0000
2.2801,2.1105,37.8760,ball,1,1,0.0000,17.8910,0.0000
2.1197,2.0822,37.8595,ball,1,1,0.0000,17.7296,0.0000
1.9596,2.0529,37.8425,ball,1,1,0.0000,17.5698,0.0000
1.8000,2.0228,37.8249,ball,1,1,0.0000,17.4117,0.0000
1.6408,1.9917,37.8067,ball,1,1,0.0000,17.2551,0.0000
1.4820,1.9598,37.7879,ball,1,1,0.0000,17.1001,0.0000
1.3236,1.9269,37.7686,ball,1,1,0.0000,16.9467,0.0000
1.1657,1.8932,37.7486,ball,1,1,0.0000,16.7948,0.0000
1.0081,1.8586,37.7281,ball,1,1,0.0000,16.6444,0.0000
0.8510,1.8230,37.7071,ball,1,1,0.0000,16.4955,0.0000
0.6943,1.7866,37.6855,ball,1,1,0.0000,16.3481,0.0000
